parent_station,stop_lon,stop_id,stop_name,stop_lat,location_type
,38.7568279,node/7057002162,Ras Mekonene Bridge (Seba Dereja),9.0389386,0
,38.7626361,node/7057002163,Gibi Gebriel Church,9.0226675,0
,38.7929906,node/7057187392,Brass Clinic (Bole),8.9904207,0
,38.7932003,node/7057187393,Brass Clinic (Bole),8.9903142,0
,38.7519784,node/7062689844,St.Gorgis,9.0379471,0
,38.751629,node/7062689845,St. George Church (2),9.0358742,0
,38.7549398,node/7062689848,Piassa,9.0345896,0
,38.764362,node/7062689850,Arat Kilo,9.0325203,0
,38.7630946,node/7062689851,4 Kilo,9.0344021,0
,38.7621098,node/7062689852,Medhanialem,9.0506154,0
,38.7635923,node/7062689854,Education Bureau (6 Kilo),9.044142,0
,38.7690204,node/7062689855,Jan Meda,9.0471236,0
,38.7742742,node/7062689856,Frensaye Kela,9.0557922,0
,38.7736282,node/7062689857,Frensaye Kela,9.0551762,0
,38.7777387,node/7062689858,Abo Mazoriya,9.0569998,0
,38.7881845,node/7062689859,Gurara,9.0623294,0
,38.7608987,node/7067942461,Mamo (NFSL TVET),8.9730894,0
,38.7595747,node/7067942462,Agona Cinema,8.988213,0
,38.7597959,node/7067942463,Agona Cinema,8.9882665,0
,38.7587377,node/7067942465,Tele Garage,9.0004682,0
,38.7589773,node/7067942466,Meshualekia,9.0057314,0
,38.7824519,node/7067990019,Zerihun Building,9.0145395,0
,38.7669539,node/7067990020,6th (Raddison Blu),9.0166971,0
,38.7621456,node/7070861695,National Palace,9.026432,0
,38.7872174,node/7070861696,SNAP Building,8.9897614,0
,38.7844888,node/7070861697,Friendship,8.9908557,0
,38.7822311,node/7070861698,Heber Restaurant,8.9917592,0
,38.7791533,node/7070861699,RWANDA (Werbek House),8.992295,0
,38.7740953,node/7070861700,Wollo Sefer,8.9946542,0
,38.7798477,node/7070861701,Rwanda,8.9924,0
,38.7723732,node/7070861702,Bole Printing Press,8.9966227,0
,38.7715908,node/7070861703,Bole Printing Press,8.9976714,0
,38.7708659,node/7070861704,Mega Printing Press,8.9993469,0
,38.7697078,node/7070861705,Shewa Dabo,9.001132,0
,38.7697673,node/7070861706,Getu Commercial Center,9.0014126,0
